season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD,rank,coordinates_x,coordinates_y,team_figure_url
2011/2012,Switzerland Super League,FC Luzern,14,12,8,46,32,54,14,2,8.305187,47.033264,
2011/2012,Switzerland Super League,FC Sion,15,8,11,40,35,53,5,3,7.376389,46.233333,
2011/2012,Switzerland Super League,FC Thun,11,10,13,38,41,43,-3,6,7.606075,46.744817,
2011/2012,Switzerland Super League,FC Zürich,11,8,15,43,44,41,-1,7,8.503801,47.382791,
2011/2012,Switzerland Super League,Grasshopper Club Zürich,7,5,22,32,66,26,-34,10,8.503801,47.382791,
2011/2012,Switzerland Super League,Neuchâtel Xamax,7,5,6,22,22,26,0,9,6.944,46.9952,
2011/2012,Switzerland Super League,Servette FC,14,6,14,45,53,48,-8,5,6.1275,46.177778,
2012/2013,Belgium Jupiler League,Beerschot AC,6,5,19,31,61,23,-30,15,4.382222,51.185,
2012/2013,Belgium Jupiler League,Club Brugge KV,15,9,6,66,43,54,23,4,3.181311,51.193269,
2012/2013,Belgium Jupiler League,KAA Gent,8,10,12,33,40,34,-7,11,3.766111,51.031389,
2012/2013,Belgium Jupiler League,KRC Genk,15,10,5,63,40,55,23,3,5.533333,51.005,
2012/2013,Belgium Jupiler League,KSV Cercle Brugge,3,5,22,30,65,14,-35,16,3.179748427,51.1930059,
2012/2013,Belgium Jupiler League,KV Kortrijk,11,6,13,31,30,39,1,9,3.248889,50.830278,
2012/2013,Belgium Jupiler League,KV Mechelen,12,5,13,44,42,41,2,8,4.486389,51.037222,
2012/2013,Belgium Jupiler League,Lierse SK,5,11,14,28,53,26,-25,14,4.573611,51.144167,
2012/2013,Belgium Jupiler League,Oud-Heverlee Leuven,8,12,10,46,51,36,-5,10,4.694167,50.868333,
2012/2013,Belgium Jupiler League,RAEC Mons,13,5,12,48,53,44,-5,7,3.963822,50.461957,
2012/2013,Belgium Jupiler League,RSC Anderlecht,20,7,3,69,27,67,42,1,4.298333,50.834167,
2012/2013,Belgium Jupiler League,SV Zulte-Waregem,19,6,5,49,29,63,20,2,3.428889,50.883056,
2012/2013,Belgium Jupiler League,Sporting Charleroi,10,4,16,30,49,34,-19,12,4.452710141,50.41485542,
2012/2013,Belgium Jupiler League,Sporting Lokeren,14,9,7,53,38,51,15,5,3.985900182,51.11556272,
2012/2013,Belgium Jupiler League,Standard de Liège,15,5,10,54,33,50,21,6,5.544487505,50.60999871,
2012/2013,Belgium Jupiler League,Waasland-Beveren,7,9,14,28,49,30,-21,13,4.243931,51.214139,
2012/2013,England Premier League,Arsenal,21,10,7,72,37,73,35,4,27.501339,-29.310975,
2012/2013,England Premier League,Aston Villa,10,11,17,47,69,41,-22,15,-1.884722222,52.50916667,
2012/2013,England Premier League,Chelsea,22,9,7,75,39,75,36,3,-0.191111111,51.48166667,
2012/2013,England Premier League,Everton,16,15,7,55,40,63,15,6,-2.966388888,53.43888889,
2012/2013,England Premier League,Fulham,11,10,17,50,60,43,-10,12,-0.221666666,51.475,
2012/2013,England Premier League,Liverpool,16,13,9,71,43,61,28,7,-2.960833333,53.43083333,
2012/2013,England Premier League,Manchester City,23,9,6,66,34,78,32,2,-2.200277777,53.48305556,
2012/2013,England Premier League,Manchester United,28,5,5,86,43,89,43,1,-2.291388888,53.46305556,
2012/2013,England Premier League,Newcastle United,11,8,19,45,68,41,-23,16,-1.621666666,54.97555556,
2012/2013,England Premier League,Norwich City,10,14,14,41,58,44,-17,11,1.308653,52.622128,
2012/2013,England Premier League,Queens Park Rangers,4,13,21,30,60,25,-30,20,-0.232222222,51.50916667,
2012/2013,England Premier League,Reading,6,10,22,43,73,28,-30,19,-0.982777777,51.42222222,
2012/2013,England Premier League,Southampton,9,14,15,49,60,41,-11,14,-1.39111111,50.90583333,
2012/2013,England Premier League,Stoke City,9,15,14,34,45,42,-11,13,-2.175555555,52.98833333,
2012/2013,England Premier League,Sunderland,9,12,17,41,54,39,-13,17,-1.3882,54.9144,
2012/2013,England Premier League,Swansea City,11,13,14,47,51,46,-4,9,-3.9351,51.6422,
2012/2013,England Premier League,Tottenham Hotspur,21,9,8,66,46,72,20,5,-0.066388888,51.60444444,
2012/2013,England Premier League,West Bromwich Albion,14,7,17,53,57,49,-4,8,-1.963888888,52.50916667,
2012/2013,England Premier League,West Ham United,12,10,16,45,53,46,-8,10,-0.016388888,51.53861111,
2012/2013,England Premier League,Wigan Athletic,9,9,20,47,73,36,-26,18,-2.653889,53.547778,
2012/2013,France Ligue 1,AC Ajaccio,9,15,14,39,51,42,-12,15,8.776444444,41.93076111,
2012/2013,France Ligue 1,AS Nancy-Lorraine,9,11,18,38,58,38,-20,18,6.210687,48.6955,
2012/2013,France Ligue 1,AS Saint-Étienne,16,15,7,60,32,63,28,5,4.39,45.460833,
2012/2013,France Ligue 1,ES Troyes AC,8,13,17,43,61,37,-18,19,4.098458,48.307561,
2012/2013,France Ligue 1,FC Lorient,14,11,13,57,58,53,-1,8,-3.369733,47.748256,
2012/2013,France Ligue 1,FC Sochaux-Montbéliard,10,11,17,41,57,41,-16,16,6.811094,47.512403,
2012/2013,France Ligue 1,Girondins de Bordeaux,13,16,9,40,34,55,6,7,-0.563333,44.896944,
2012/2013,France Ligue 1,LOSC Lille,16,14,8,59,40,62,19,6,3.067614316,50.63678193,
2012/2013,France Ligue 1,Montpellier Hérault SC,15,7,16,54,51,52,3,9,3.930685964,43.61275576,
2012/2013,France Ligue 1,OGC Nice,18,10,10,57,46,64,11,4,7.192583333,43.70513889,
2012/2013,France Ligue 1,Olympique Lyonnais,19,10,9,61,38,67,23,3,4.982131,45.765224,
2012/2013,France Ligue 1,Olympique de Marseille,21,8,9,42,36,71,6,2,5.395833333,43.26972222,
2012/2013,France Ligue 1,Paris Saint-Germain,25,8,5,69,23,83,46,1,2.253055555,48.84138889,
2012/2013,France Ligue 1,SC Bastia,13,8,17,50,66,47,-16,12,9.442619,42.6514,
2012/2013,France Ligue 1,Stade Brestois 29,8,5,25,32,62,29,-30,20,-4.461694,48.402932,
2012/2013,France Ligue 1,Stade Rennais FC,13,7,18,48,59,46,-11,13,-1.712861111,48.10747222,
2012/2013,France Ligue 1,Stade de Reims,10,13,15,33,42,43,-9,14,4.025,49.246667,
2012/2013,France Ligue 1,Toulouse FC,13,12,13,49,47,51,2,10,1.434055,43.583296,
2012/2013,France Ligue 1,Valenciennes FC,12,12,14,49,53,48,-4,11,3.529336,50.348486,
2012/2013,France Ligue 1,Évian Thonon Gaillard FC,10,10,18,46,53,40,-7,17,6.467691868,46.36570671,
2012/2013,Germany 1. Bundesliga,1. FC Nürnberg,11,11,12,39,47,44,-8,10,11.125278,49.426389,
2012/2013,Germany 1. Bundesliga,1. FSV Mainz 05,10,12,12,42,44,42,-2,13,8.322268157,49.96242212,
2012/2013,Germany 1. Bundesliga,Bayer 04 Leverkusen,19,8,7,65,39,65,26,3,7.002205555,51.03825556,
2012/2013,Germany 1. Bundesliga,Borussia Dortmund,19,9,6,81,42,66,39,2,7.451667,51.4925,
2012/2013,Germany 1. Bundesliga,Borussia Mönchengladbach,12,11,11,45,49,47,-4,8,6.385463888,51.17458333,
2012/2013,Germany 1. Bundesliga,Eintracht Frankfurt,14,9,11,49,46,51,3,6,8.645278,50.068611,
2012/2013,Germany 1. Bundesliga,FC Augsburg,8,9,17,33,51,33,-18,15,10.8859261,48.3233205,
2012/2013,Germany 1. Bundesliga,FC Bayern Munich,29,4,1,98,18,91,80,1,11.574444,48.110833,
2012/2013,Germany 1. Bundesliga,FC Schalke 04,16,7,11,58,50,55,8,4,7.067588888,51.55450278,
2012/2013,Germany 1. Bundesliga,Fortuna Düsseldorf,7,9,18,39,57,30,-18,17,6.733083,51.261539,
2012/2013,Germany 1. Bundesliga,Hamburger SV,14,6,14,42,53,48,-11,7,9.898611,53.586944,
2012/2013,Germany 1. Bundesliga,Hannover 96,13,6,15,60,62,45,-2,9,9.731111,52.36,
2012/2013,Germany 1. Bundesliga,SC Freiburg,14,9,11,45,40,51,5,5,7.893056,47.988889,
2012/2013,Germany 1. Bundesliga,SV Werder Bremen,8,10,16,50,66,34,-16,14,8.8375,53.066389,
2012/2013,Germany 1. Bundesliga,SpVgg Greuther Fürth,4,9,21,26,60,21,-34,18,10.999167,49.486944,
2012/2013,Germany 1. Bundesliga,TSG 1899 Hoffenheim,8,7,19,42,67,31,-25,16,8.84212,49.2783,
2012/2013,Germany 1. Bundesliga,VfB Stuttgart,12,7,15,37,55,43,-18,12,9.231944,48.792222,
2012/2013,Germany 1. Bundesliga,VfL Wolfsburg,10,13,11,47,52,43,-5,11,10.807511,52.434577,
2012/2013,Italy Serie A,Atalanta,11,9,18,39,56,42,-17,15,9.680833,45.708889,
2012/2013,Italy Serie A,Bologna,11,11,16,46,52,44,-6,13,11.309719,44.49362,
2012/2013,Italy Serie A,Cagliari,12,11,15,43,55,47,-12,11,9.137583333,39.19988889,
2012/2013,Italy Serie A,Catania,15,11,12,50,46,56,4,8,15.071389,37.515833,
2012/2013,Italy Serie A,Chievo Verona,12,9,17,37,52,45,-15,12,10.968647,45.435356,
2012/2013,Italy Serie A,Fiorentina,21,7,10,72,44,70,28,4,11.282258,43.780822,
2012/2013,Italy Serie A,Genoa,8,14,16,38,52,38,-14,17,8.952428,44.416431,
2012/2013,Italy Serie A,Inter,16,6,16,55,57,54,-2,9,9.124,45.47808,
2012/2013,Italy Serie A,Juventus,27,6,5,71,24,87,47,1,-88.57027778,18.08305556,
2012/2013,Italy Serie A,Lazio,18,7,13,51,42,61,9,7,12.454714,41.933872,
2012/2013,Italy Serie A,Milan,21,9,8,67,39,72,28,3,14.30720933,41.08379544,
2012/2013,Italy Serie A,Napoli,23,9,6,73,36,78,37,2,14.26338465,40.88798394,
2012/2013,Italy Serie A,Palermo,6,14,18,34,54,32,-20,19,13.342275,38.152767,
2012/2013,Italy Serie A,Parma,13,10,15,45,46,49,-1,10,10.33844444,44.79491667,
2012/2013,Italy Serie A,Pescara,6,4,28,27,84,22,-57,20,14.22944444,42.45527778,
2012/2013,Italy Serie A,Roma,18,8,12,71,56,62,15,6,12.454714,41.933872,
2012/2013,Italy Serie A,Sampdoria,11,10,17,43,51,43,-8,14,8.952428,44.416431,
2012/2013,Italy Serie A,Siena,9,9,20,36,57,36,-21,18,11.326111,43.321667,
2012/2013,Italy Serie A,Torino,8,16,14,46,55,40,-9,16,7.65,45.041667,
2012/2013,Italy Serie A,Udinese,18,12,8,59,45,66,14,5,13.200136,46.081603,
2012/2013,Netherlands Eredivisie,ADO Den Haag,9,13,12,49,63,40,-14,9,4.383056,52.062778,
2012/2013,Netherlands Eredivisie,AZ,10,9,15,56,54,39,2,10,4.741630263,52.61271589,
2012/2013,Netherlands Eredivisie,Ajax,22,10,2,83,31,76,52,1,4.940442856,52.31420074,
2012/2013,Netherlands Eredivisie,FC Groningen,12,7,15,36,53,43,-17,7,6.591388888,53.20611111,
2012/2013,Netherlands Eredivisie,FC Twente,17,11,6,60,33,62,27,6,6.8375,52.23666667,
2012/2013,Netherlands Eredivisie,FC Utrecht,19,6,9,55,41,63,14,5,5.145833333,52.07833333,
2012/2013,Netherlands Eredivisie,Feyenoord,21,6,7,64,38,69,26,3,4.523252777,51.89389444,
2012/2013,Netherlands Eredivisie,Heracles Almelo,9,11,14,58,71,38,-13,12,6.649722,52.338611,
2012/2013,Netherlands Eredivisie,N.E.C.,10,7,17,44,66,37,-22,15,5.836667,51.8225,
2012/2013,Netherlands Eredivisie,NAC Breda,10,8,16,40,56,38,-16,13,4.75028,51.5956,
2012/2013,Netherlands Eredivisie,PEC Zwolle,10,9,15,42,55,39,-13,11,6.121911,52.517292,
2012/2013,Netherlands Eredivisie,PSV,22,3,9,103,43,69,60,2,5.4674,51.4417,
2012/2013,Netherlands Eredivisie,RKC Waalwijk,9,10,15,39,48,37,-9,14,5.088611,51.686944,
2012/2013,Netherlands Eredivisie,Roda JC Kerkrade,7,12,15,51,69,33,-18,16,6.005833333,50.85694444,
2012/2013,Netherlands Eredivisie,SC Heerenveen,11,9,14,50,63,42,-13,8,5.936111,52.958611,
2012/2013,Netherlands Eredivisie,VVV-Venlo,6,10,18,33,62,28,-29,17,6.179722,51.351944,
2012/2013,Netherlands Eredivisie,Vitesse,19,7,8,68,42,64,26,4,5.893056,51.9625,
2012/2013,Netherlands Eredivisie,Willem II,5,8,21,33,76,23,-43,18,5.066944,51.542778,
2012/2013,Poland Ekstraklasa,GKS Bełchatów,7,10,13,24,38,31,-14,16,19.381692,51.365839,
2012/2013,Poland Ekstraklasa,Jagiellonia Białystok,8,13,9,31,45,37,-14,10,23.148889,53.105556,
2012/2013,Poland Ekstraklasa,Korona Kielce,9,9,12,32,37,36,-5,11,20.624722,50.861389,
2012/2013,Poland Ekstraklasa,Lech Poznań,19,4,7,46,22,61,24,2,16.858056,52.397222,
2012/2013,Poland Ekstraklasa,Lechia Gdańsk,10,8,12,42,43,38,-1,8,18.640278,54.39,
2012/2013,Poland Ekstraklasa,Legia Warszawa,20,7,3,59,22,67,37,1,21.04099453,52.22149029,
2012/2013,Poland Ekstraklasa,P. Warszawa,11,9,10,45,34,42,11,6,21.07967436,52.23167219,
2012/2013,Poland Ekstraklasa,Piast Gliwice,13,7,10,41,41,46,0,4,18.695866,50.306583,
2012/2013,Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,8,8,14,39,43,32,-4,14,19.054267,49.817419,
2012/2013,Poland Ekstraklasa,Pogoń Szczecin,10,5,15,29,39,35,-10,12,14.51688356,53.43722011,
2012/2013,Poland Ekstraklasa,Polonia Bytom,12,7,11,35,31,43,4,5,18.89871667,50.35755833,
2012/2013,Poland Ekstraklasa,Ruch Chorzów,8,7,15,35,48,31,-13,15,18.944178,50.282203,
2012/2013,Poland Ekstraklasa,Widzew Łódź,8,9,13,30,41,33,-11,13,19.511667,51.765,
2012/2013,Poland Ekstraklasa,Wisła Kraków,10,8,12,28,35,38,-7,9,19.911944,50.063611,
2012/2013,Poland Ekstraklasa,Zagłębie Lubin,11,7,12,38,37,40,1,7,16.1975,51.413333,
2012/2013,Poland Ekstraklasa,Śląsk Wrocław,13,8,9,44,42,47,2,3,16.944094,51.141797,
2012/2013,Portugal Liga ZON Sagres,Académica de Coimbra,6,10,14,33,45,28,-12,11,-8.407777777,40.20333333,
2012/2013,Portugal Liga ZON Sagres,CD Nacional,11,7,12,45,51,40,-6,8,-16.883525,32.670625,
2012/2013,Portugal Liga ZON Sagres,CS Marítimo,9,11,10,34,45,38,-11,10,-16.928331,32.645561,
2012/2013,Portugal Liga ZON Sagres,Estoril Praia,13,6,11,47,37,45,10,5,-9.406,38.716,
2012/2013,Portugal Liga ZON Sagres,FC Paços de Ferreira,14,12,4,42,29,54,13,3,-8.385581,41.271353,
2012/2013,Portugal Liga ZON Sagres,FC Porto,24,6,0,70,14,78,56,1,-8.544874,41.066863,
2012/2013,Portugal Liga ZON Sagres,Gil Vicente FC,6,7,17,31,54,25,-23,14,-8.611111111,41.53388889,
2012/2013,Portugal Liga ZON Sagres,Moreirense FC,5,9,16,30,51,24,-21,15,-8.354761,41.378089,
2012/2013,Portugal Liga ZON Sagres,Rio Ave FC,12,6,12,35,42,42,-7,7,-8.740186,41.362756,
2012/2013,Portugal Liga ZON Sagres,S.C. Olhanense,5,10,15,26,42,25,-16,13,-7.848483,37.029128,
2012/2013,Portugal Liga ZON Sagres,SC Beira Mar,5,8,17,35,55,23,-20,16,-8.593611,40.6475,
2012/2013,Portugal Liga ZON Sagres,SC Braga,16,4,10,60,44,52,16,4,-8.4308,41.5624,
2012/2013,Portugal Liga ZON Sagres,SL Benfica,24,5,1,77,20,77,57,2,-9.184680555,38.75267778,
2012/2013,Portugal Liga ZON Sagres,Sporting CP,11,9,10,36,36,42,0,6,-9.160783333,38.76119444,
2012/2013,Portugal Liga ZON Sagres,Vitória Guimarães,11,7,12,36,47,40,-11,9,-8.300066156,41.44587634,
2012/2013,Portugal Liga ZON Sagres,Vitória Setúbal,7,5,18,30,55,26,-25,12,-8.88978488,38.53144068,
2012/2013,Scotland Premier League,Aberdeen,11,15,12,41,43,48,-2,7,-2.088888888,57.15916667,
2012/2013,Scotland Premier League,Celtic,24,7,7,92,35,79,57,1,-23.512222,14.916111,
2012/2013,Scotland Premier League,Dundee FC,7,9,22,28,66,30,-38,12,-2.973194,56.475264,
2012/2013,Scotland Premier League,Dundee United,11,14,13,51,62,47,-11,8,-2.968961,56.474703,
2012/2013,Scotland Premier League,Heart of Midlothian,11,11,16,40,49,44,-9,10,-3.232222,55.939167,
2012/2013,Scotland Premier League,Hibernian,13,12,13,49,52,51,-3,6,-3.165555555,55.96166667,
2012/2013,Scotland Premier League,Inverness Caledonian Thistle,13,15,10,64,60,54,4,4,-4.2175,57.494722,
2012/2013,Scotland Premier League,Kilmarnock,11,12,15,52,53,45,-1,9,-4.508122,55.604225,
2012/2013,Scotland Premier League,Motherwell,18,9,11,67,51,63,16,2,-3.980078,55.779947,
2012/2013,Scotland Premier League,Ross County FC,13,14,11,47,48,53,-1,5,-4.41891,57.5959,
2012/2013,Scotland Premier League,St. Johnstone FC,14,14,10,45,44,56,1,3,-3.476928,56.409686,
2012/2013,Scotland Premier League,St. Mirren,9,14,15,47,60,41,-13,11,-4.443889,55.850556,
2012/2013,Spain LIGA BBVA,Athletic Club de Bilbao,12,9,17,44,65,45,-21,12,-2.949369,43.264205,
2012/2013,Spain LIGA BBVA,Atlético Madrid,23,7,8,65,31,76,34,3,-3.599444,40.436111,
2012/2013,Spain LIGA BBVA,CA Osasuna,10,9,19,33,50,39,-17,16,-9.192602072,38.76679118,
2012/2013,Spain LIGA BBVA,FC Barcelona,32,4,2,115,40,100,75,1,2.12005,41.380081,
2012/2013,Spain LIGA BBVA,Getafe CF,13,8,17,43,57,47,-14,10,-3.714722,40.325556,
2012/2013,Spain LIGA BBVA,Granada CF,11,9,18,37,54,42,-17,15,-3.595736,37.152967,
2012/2013,Spain LIGA BBVA,Levante UD,12,10,16,40,57,46,-17,11,-0.364167,39.494722,
2012/2013,Spain LIGA BBVA,Málaga CF,16,9,13,53,50,57,3,6,-4.427226608,36.73438436,
2012/2013,Spain LIGA BBVA,RC Celta de Vigo,10,7,21,37,52,37,-15,17,-8.673340348,42.24705444,
2012/2013,Spain LIGA BBVA,RC Deportivo de La Coruña,8,11,19,47,70,35,-23,19,-8.417372,43.368667,
2012/2013,Spain LIGA BBVA,RCD Espanyol,11,11,16,43,52,44,-9,13,2.075667,41.347861,
2012/2013,Spain LIGA BBVA,RCD Mallorca,9,9,20,43,72,36,-29,18,2.63,39.59,
2012/2013,Spain LIGA BBVA,Rayo Vallecano,16,5,17,50,66,53,-16,8,-3.658961,40.391944,
2012/2013,Spain LIGA BBVA,Real Betis Balompié,16,8,14,57,56,56,1,7,-5.981611,37.356403,
2012/2013,Spain LIGA BBVA,Real Madrid CF,26,7,5,103,42,85,61,2,-3.68835,40.45306,
2012/2013,Spain LIGA BBVA,Real Sociedad,18,12,8,70,49,66,21,4,-1.973617,43.301378,
2012/2013,Spain LIGA BBVA,Real Valladolid,11,10,17,49,58,43,-9,14,-4.761111,41.644444,
2012/2013,Spain LIGA BBVA,Real Zaragoza,9,7,22,37,62,34,-25,20,-0.901822,41.636592,
2012/2013,Spain LIGA BBVA,Sevilla FC,14,8,16,58,54,50,4,9,-5.970467,37.383878,
2012/2013,Spain LIGA BBVA,Valencia CF,19,8,11,67,54,65,13,5,-0.358333,39.474722,
2012/2013,Switzerland Super League,BSC Young Boys,11,10,15,48,50,43,-2,7,7.465,46.962778,
2012/2013,Switzerland Super League,FC Basel,21,9,6,61,31,72,30,1,7.62,47.541389,
2012/2013,Switzerland Super League,FC Lausanne-Sports,8,9,19,32,51,33,-19,9,6.625,46.534,
2012/2013,Switzerland Super League,FC Luzern,10,12,14,41,52,42,-11,8,8.305187,47.033264,
2012/2013,Switzerland Super League,FC Sion,13,9,14,40,54,48,-14,6,7.376389,46.233333,
2012/2013,Switzerland Super League,FC St. Gallen,17,8,11,54,36,59,18,3,9.306389,47.408333,
2012/2013,Switzerland Super League,FC Thun,13,9,14,44,46,48,-2,5,7.606075,46.744817,
2012/2013,Switzerland Super League,FC Zürich,16,7,13,62,48,55,14,4,8.503801,47.382791,
2012/2013,Switzerland Super League,Grasshopper Club Zürich,20,9,7,48,32,69,16,2,8.503801,47.382791,
2012/2013,Switzerland Super League,Servette FC,6,8,22,32,62,26,-30,10,6.1275,46.177778,
2013/2014,Belgium Jupiler League,KAA Gent,3,1,2,11,6,10,5,2,3.766111,51.031389,
2013/2014,Belgium Jupiler League,KV Oostende,4,2,0,7,1,14,6,1,2.884603927,51.21714229,
2013/2014,Belgium Jupiler League,Lierse SK,2,0,4,5,12,6,-7,3,4.573611,51.144167,
2013/2014,Belgium Jupiler League,Waasland-Beveren,1,1,4,7,11,4,-4,4,4.243931,51.214139,
2013/2014,England Premier League,Arsenal,24,7,7,68,41,79,27,4,27.501339,-29.310975,
2013/2014,England Premier League,Aston Villa,10,8,20,39,61,38,-22,15,-1.884722222,52.50916667,
2013/2014,England Premier League,Cardiff City,7,9,22,32,74,30,-42,20,-3.203056,51.472778,
2013/2014,England Premier League,Chelsea,25,7,6,71,27,82,44,3,-0.191111111,51.48166667,
2013/2014,England Premier League,Crystal Palace,13,6,19,33,48,45,-15,11,-0.0705,51.4203,
2013/2014,England Premier League,Everton,21,9,8,61,39,72,22,5,-2.966388888,53.43888889,
2013/2014,England Premier League,Fulham,9,5,24,40,85,32,-45,19,-0.221666666,51.475,
2013/2014,England Premier League,Hull City,10,7,21,38,53,37,-15,16,-0.367777777,53.74611111,
2013/2014,England Premier League,Liverpool,26,6,6,101,50,84,51,2,-2.960833333,53.43083333,
2013/2014,England Premier League,Manchester City,27,5,6,102,37,86,65,1,-2.200277777,53.48305556,
2013/2014,England Premier League,Manchester United,19,7,12,64,43,64,21,7,-2.291388888,53.46305556,
2013/2014,England Premier League,Newcastle United,15,4,19,43,59,49,-16,10,-1.621666666,54.97555556,
2013/2014,England Premier League,Norwich City,8,9,21,28,62,33,-34,18,1.308653,52.622128,
2013/2014,England Premier League,Southampton,15,11,12,54,46,56,8,8,-1.39111111,50.90583333,
2013/2014,England Premier League,Stoke City,13,11,14,45,52,50,-7,9,-2.175555555,52.98833333,
2013/2014,England Premier League,Sunderland,10,8,20,41,60,38,-19,14,-1.3882,54.9144,
2013/2014,England Premier League,Swansea City,11,9,18,54,54,42,0,12,-3.9351,51.6422,
2013/2014,England Premier League,Tottenham Hotspur,21,6,11,55,51,69,4,6,-0.066388888,51.60444444,
2013/2014,England Premier League,West Bromwich Albion,7,15,16,43,59,36,-16,17,-1.963888888,52.50916667,
2013/2014,England Premier League,West Ham United,11,7,20,40,51,40,-11,13,-0.016388888,51.53861111,
2013/2014,France Ligue 1,AC Ajaccio,4,11,23,37,72,23,-35,20,8.776444444,41.93076111,
2013/2014,France Ligue 1,AS Monaco,23,11,4,63,31,80,32,2,7.415556,43.727778,
2013/2014,France Ligue 1,AS Saint-Étienne,20,9,9,56,34,69,22,4,4.39,45.460833,
2013/2014,France Ligue 1,En Avant de Guingamp,11,9,18,34,42,42,-8,15,-3.164597222,48.56628611,
2013/2014,France Ligue 1,FC Lorient,13,10,15,48,53,49,-5,9,-3.369733,47.748256,
2013/2014,France Ligue 1,FC Nantes,13,10,15,40,43,49,-3,8,-1.525278,47.255556,
2013/2014,France Ligue 1,FC Sochaux-Montbéliard,10,10,18,37,61,40,-24,18,6.811094,47.512403,
2013/2014,France Ligue 1,Girondins de Bordeaux,13,14,11,49,43,53,6,7,-0.563333,44.896944,
2013/2014,France Ligue 1,LOSC Lille,20,11,7,46,26,71,20,3,3.067614316,50.63678193,
2013/2014,France Ligue 1,Montpellier Hérault SC,8,18,12,45,53,42,-8,16,3.930685964,43.61275576,
2013/2014,France Ligue 1,OGC Nice,12,6,20,30,44,42,-14,17,7.192583333,43.70513889,
2013/2014,France Ligue 1,Olympique Lyonnais,17,10,11,56,44,61,12,5,4.982131,45.765224,
2013/2014,France Ligue 1,Olympique de Marseille,16,12,10,53,40,60,13,6,5.395833333,43.26972222,
2013/2014,France Ligue 1,Paris Saint-Germain,27,8,3,84,23,89,61,1,2.253055555,48.84138889,
2013/2014,France Ligue 1,SC Bastia,12,10,16,42,58,46,-16,13,9.442619,42.6514,
2013/2014,France Ligue 1,Stade Rennais FC,11,13,14,47,45,46,2,12,-1.712861111,48.10747222,
2013/2014,France Ligue 1,Stade de Reims,12,12,14,44,52,48,-8,11,4.025,49.246667,
2013/2014,France Ligue 1,Toulouse FC,12,13,13,46,53,49,-7,10,1.434055,43.583296,
2013/2014,France Ligue 1,Valenciennes FC,7,8,23,37,65,29,-28,19,3.529336,50.348486,
2013/2014,France Ligue 1,Évian Thonon Gaillard FC,11,11,16,39,51,44,-12,14,6.467691868,46.36570671,
2013/2014,Germany 1. Bundesliga,1. FC Nürnberg,5,11,18,37,70,26,-33,17,11.125278,49.426389,
2013/2014,Germany 1. Bundesliga,1. FSV Mainz 05,16,5,13,52,54,53,-2,7,8.322268157,49.96242212,
2013/2014,Germany 1. Bundesliga,Bayer 04 Leverkusen,19,4,11,60,41,61,19,4,7.002205555,51.03825556,
2013/2014,Germany 1. Bundesliga,Borussia Dortmund,22,5,7,80,38,71,42,2,7.451667,51.4925,
2013/2014,Germany 1. Bundesliga,Borussia Mönchengladbach,16,7,11,59,43,55,16,6,6.385463888,51.17458333,
2013/2014,Germany 1. Bundesliga,Eintracht Braunschweig,6,7,21,29,60,25,-31,18,10.521389,52.29,
2013/2014,Germany 1. Bundesliga,Eintracht Frankfurt,9,9,16,40,57,36,-17,13,8.645278,50.068611,
2013/2014,Germany 1. Bundesliga,FC Augsburg,15,7,12,47,47,52,0,8,10.8859261,48.3233205,
2013/2014,Germany 1. Bundesliga,FC Bayern Munich,29,3,2,94,23,90,71,1,11.574444,48.110833,
2013/2014,Germany 1. Bundesliga,FC Schalke 04,19,7,8,63,43,64,20,3,7.067588888,51.55450278,
2013/2014,Germany 1. Bundesliga,Hamburger SV,7,6,21,51,75,27,-24,16,9.898611,53.586944,
2013/2014,Germany 1. Bundesliga,Hannover 96,12,6,16,46,59,42,-13,10,9.731111,52.36,
2013/2014,Germany 1. Bundesliga,Hertha BSC Berlin,11,8,15,40,48,41,-8,11,13.23944444,52.51472222,
2013/2014,Germany 1. Bundesliga,SC Freiburg,9,9,16,43,61,36,-18,14,7.893056,47.988889,
2013/2014,Germany 1. Bundesliga,SV Werder Bremen,10,9,15,42,66,39,-24,12,8.8375,53.066389,
2013/2014,Germany 1. Bundesliga,TSG 1899 Hoffenheim,11,11,12,72,70,44,2,9,8.84212,49.2783,
2013/2014,Germany 1. Bundesliga,VfB Stuttgart,8,8,18,49,62,32,-13,15,9.231944,48.792222,
2013/2014,Germany 1. Bundesliga,VfL Wolfsburg,18,6,10,63,50,60,13,5,10.807511,52.434577,
2013/2014,Italy Serie A,Atalanta,15,5,18,43,51,50,-8,11,9.680833,45.708889,
2013/2014,Italy Serie A,Bologna,5,14,19,28,58,29,-30,19,11.309719,44.49362,
2013/2014,Italy Serie A,Cagliari,9,12,17,34,53,39,-19,15,9.137583333,39.19988889,
2013/2014,Italy Serie A,Catania,8,8,22,34,66,32,-32,18,15.071389,37.515833,
2013/2014,Italy Serie A,Chievo Verona,10,6,22,34,54,36,-20,16,10.968647,45.435356,
2013/2014,Italy Serie A,Fiorentina,19,8,11,65,44,65,21,4,11.282258,43.780822,
2013/2014,Italy Serie A,Genoa,11,11,16,41,50,44,-9,13,8.952428,44.416431,
2013/2014,Italy Serie A,Hellas Verona,16,6,16,62,68,54,-6,10,10.968647,45.435356,
